,merchantid,alitype,alidecription,wemname,wedate,wemethod,wetype,wedescription
60551,869451704220001,套现,套现风险（套现风险极高）,,,,,
60552,869451704220001,套现,套现风险（套现风险极高）,,,,,
60599,869451704220001,套现,套现风险（套现风险极高）,,,,,
60600,869451704220001,套现,套现风险（套现风险极高）,,,,,
60605,869451704220001,套现,套现风险（套现风险极高）,,,,,
60606,869451704220001,套现,套现风险（套现风险极高）,,,,,
60640,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
60641,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
60650,869451704220001,套现,套现风险（套现风险极高）,,,,,
60651,869451704220001,套现,套现风险（套现风险极高）,,,,,
60654,869395002020001,欺诈,欺诈风险（关闭支付权限）,,,,,
60655,869395002020001,欺诈,欺诈风险（关闭支付权限）,,,,,
60658,869451704220001,套现,套现风险（套现风险极高）,,,,,
60682,869451704220001,套现,套现风险（套现风险极高）,,,,,
60683,869451704220001,套现,套现风险（套现风险极高）,,,,,
60696,869451704220001,套现,套现风险（套现风险极高）,,,,,
60697,869451704220001,套现,套现风险（套现风险极高）,,,,,
60710,869451704220001,套现,套现风险（套现风险极高）,,,,,
60711,869451704220001,套现,套现风险（套现风险极高）,,,,,
60725,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
60726,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
60730,869451704220001,套现,套现风险（套现风险极高）,,,,,
60731,869451704220001,套现,套现风险（套现风险极高）,,,,,
60765,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
60774,869451704220001,套现,套现风险（套现风险极高）,,,,,
60775,869451704220001,套现,套现风险（套现风险极高）,,,,,
60991,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
60992,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
61161,869451704220001,套现,套现风险（套现风险极高）,,,,,
61162,869451704220001,套现,套现风险（套现风险极高）,,,,,
61174,869290465130016,套现,套现风险（套现风险极高）,,,,,
61175,869290465130016,套现,套现风险（套现风险极高）,,,,,
61227,869290465130016,套现,套现风险（套现风险极高）,,,,,
61228,869290465130016,套现,套现风险（套现风险极高）,,,,,
61255,869395002020001,欺诈,欺诈风险（关闭支付权限）,,,,,
61320,869451704220001,套现,套现风险（套现风险极高）,,,,,
61340,869451704220001,套现,套现风险（套现风险极高）,,,,,
61341,869451704220001,套现,套现风险（套现风险极高）,,,,,
61387,869451704220001,套现,套现风险（套现风险极高）,,,,,
61388,869451704220001,套现,套现风险（套现风险极高）,,,,,
61418,869395002020001,欺诈,欺诈风险（关闭支付权限）,,,,,
61419,869395002020001,欺诈,欺诈风险（关闭支付权限）,,,,,
61426,869451704220001,套现,套现风险（套现风险极高）,,,,,
61427,869451704220001,套现,套现风险（套现风险极高）,,,,,
61477,869451704220001,套现,套现风险（套现风险极高）,,,,,
61478,869451704220001,套现,套现风险（套现风险极高）,,,,,
61509,869451704220001,套现,套现风险（套现风险极高）,,,,,
61510,869451704220001,套现,套现风险（套现风险极高）,,,,,
61532,869451704220001,套现,套现风险（套现风险极高）,,,,,
61533,869451704220001,套现,套现风险（套现风险极高）,,,,,
61536,869395002020001,欺诈,欺诈风险（关闭支付权限）,,,,,
61539,869100001030018,套现,套现风险（套现风险极高）,,,,,
61540,869100001030018,套现,套现风险（套现风险极高）,,,,,
61567,869451704220001,套现,套现风险（套现风险极高）,,,,,
61568,869451704220001,套现,套现风险（套现风险极高）,,,,,
61573,869100001030018,套现,套现风险（套现风险极高）,,,,,
61591,869100001030018,套现,套现风险（套现风险极高）,,,,,
61607,869451704220001,套现,套现风险（套现风险极高）,,,,,
61608,869451704220001,套现,套现风险（套现风险极高）,,,,,
61610,869100001030018,套现,套现风险（套现风险极高）,,,,,
61635,869100001030018,套现,套现风险（套现风险极高）,,,,,
61645,869451704220001,套现,套现风险（套现风险极高）,,,,,
61646,869451704220001,套现,套现风险（套现风险极高）,,,,,
61659,869100001030018,套现,套现风险（套现风险极高）,,,,,
61699,869451704220001,套现,套现风险（套现风险极高）,,,,,
61700,869451704220001,套现,套现风险（套现风险极高）,,,,,
61764,869391004220025,套现,套现风险（套现风险极高）,,,,,
61765,869391004220025,套现,套现风险（套现风险极高）,,,,,
61815,869451704220001,套现,套现风险（套现风险极高）,,,,,
61816,869451704220001,套现,套现风险（套现风险极高）,,,,,
61837,869451704220001,套现,套现风险（套现风险极高）,,,,,
61838,869451704220001,套现,套现风险（套现风险极高）,,,,,
61912,869451704220001,套现,套现风险（套现风险极高）,,,,,
61913,869451704220001,套现,套现风险（套现风险极高）,,,,,
61998,869100001030018,套现,套现风险（套现风险极高）,,,,,
61999,869100001030018,套现,套现风险（套现风险极高）,,,,,
62008,869451704220001,套现,套现风险（套现风险极高）,,,,,
62009,869451704220001,套现,套现风险（套现风险极高）,,,,,
62018,869100001030018,套现,套现风险（套现风险极高）,,,,,
62019,869100001030018,套现,套现风险（套现风险极高）,,,,,
62039,869100001030018,套现,套现风险（套现风险极高）,,,,,
62040,869100001030018,套现,套现风险（套现风险极高）,,,,,
62055,869100001030018,套现,套现风险（套现风险极高）,,,,,
62056,869100001030018,套现,套现风险（套现风险极高）,,,,,
62068,869100001030018,套现,套现风险（套现风险极高）,,,,,
62069,869100001030018,套现,套现风险（套现风险极高）,,,,,
62073,869100002030004,套现,套现风险（套现风险极高）,,,,,
62074,869100002030004,套现,套现风险（套现风险极高）,,,,,
62107,869451704220001,套现,套现风险（套现风险极高）,,,,,
62108,869451704220001,套现,套现风险（套现风险极高）,,,,,
62184,869451704220001,套现,套现风险（套现风险极高）,,,,,
62185,869451704220001,套现,套现风险（套现风险极高）,,,,,
62224,869451704220001,套现,套现风险（套现风险极高）,,,,,
62225,869451704220001,套现,套现风险（套现风险极高）,,,,,
62240,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
62265,869451704220001,套现,套现风险（套现风险极高）,,,,,
62266,869451704220001,套现,套现风险（套现风险极高）,,,,,
62281,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
62282,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
62301,869451704220001,套现,套现风险（套现风险极高）,,,,,
62302,869451704220001,套现,套现风险（套现风险极高）,,,,,
62328,869671010010003,,,宜宾市小五金零售,2020/3/25 16:35,交易拦截,拦截,涉嫌实时交易异常
62334,869451704220001,套现,套现风险（套现风险极高）,,,,,
62335,869451704220001,套现,套现风险（套现风险极高）,,,,,
62438,869451704220001,套现,套现风险（套现风险极高）,,,,,
62439,869451704220001,套现,套现风险（套现风险极高）,,,,,
62488,869451704220001,套现,套现风险（套现风险极高）,,,,,
62489,869451704220001,套现,套现风险（套现风险极高）,,,,,
62580,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
62606,869451704220001,套现,套现风险（套现风险极高）,,,,,
62607,869451704220001,套现,套现风险（套现风险极高）,,,,,
62634,869451704220001,套现,套现风险（套现风险极高）,,,,,
62635,869451704220001,套现,套现风险（套现风险极高）,,,,,
62691,869451704220001,套现,套现风险（套现风险极高）,,,,,
62692,869451704220001,套现,套现风险（套现风险极高）,,,,,
62709,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
62738,869451704220001,套现,套现风险（套现风险极高）,,,,,
62739,869451704220001,套现,套现风险（套现风险极高）,,,,,
62760,869498001030001,欺诈,欺诈风险（关闭支付权限）,,,,,
62761,869498001030001,欺诈,欺诈风险（关闭支付权限）,,,,,
62778,869498001030001,欺诈,欺诈风险（关闭支付权限）,,,,,
62779,869498001030001,欺诈,欺诈风险（关闭支付权限）,,,,,
62837,869451704220001,套现,套现风险（套现风险极高）,,,,,
62838,869451704220001,套现,套现风险（套现风险极高）,,,,,
63040,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
63041,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
63290,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
63291,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
63320,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
63321,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
63563,869451704220001,套现,套现风险（套现风险极高）,,,,,
63564,869451704220001,套现,套现风险（套现风险极高）,,,,,
63602,869451704220001,套现,套现风险（套现风险极高）,,,,,
63603,869451704220001,套现,套现风险（套现风险极高）,,,,,
63692,869451704220001,套现,套现风险（套现风险极高）,,,,,
63693,869451704220001,套现,套现风险（套现风险极高）,,,,,
63746,869451704220001,套现,套现风险（套现风险极高）,,,,,
63747,869451704220001,套现,套现风险（套现风险极高）,,,,,
63828,869391010010006,赌博,赌博风险（关闭支付权限）,,,,,
63829,869391010010006,赌博,赌博风险（关闭支付权限）,,,,,
63866,869391010010006,赌博,赌博风险（关闭支付权限）,,,,,
63867,869391010010006,赌博,赌博风险（关闭支付权限）,,,,,
63902,869391010010006,赌博,赌博风险（关闭支付权限）,,,,,
63907,869391010010006,赌博,赌博风险（关闭支付权限）,,,,,
63908,869391010010006,赌博,赌博风险（关闭支付权限）,,,,,
63934,869391010010006,赌博,赌博风险（关闭支付权限）,,,,,
63935,869391010010006,赌博,赌博风险（关闭支付权限）,,,,,
64352,869651001030009,赌博,赌博风险（关闭支付权限）,,,,,
64355,869651001030009,赌博,赌博风险（关闭支付权限）,,,,,
64356,869651001030009,赌博,赌博风险（关闭支付权限）,,,,,
64374,869651001030009,赌博,赌博风险（关闭支付权限）,,,,,
64384,869651001030009,赌博,赌博风险（关闭支付权限）,,,,,
64385,869651001030009,赌博,赌博风险（关闭支付权限）,,,,,
64682,869534148120001,套现,套现风险（套现风险极高）,,,,,
64683,869534148120001,套现,套现风险（套现风险极高）,,,,,
64801,869290857120003,套现,套现风险（套现风险极高）,,,,,
64802,869290857120003,套现,套现风险（套现风险极高）,,,,,
64836,869100002050002,色情,色情风险（关闭支付权限）,,,,,
64837,869100002050002,色情,色情风险（关闭支付权限）,,,,,
64907,869534148120001,套现,套现风险（套现风险极高）,,,,,
64908,869534148120001,套现,套现风险（套现风险极高）,,,,,
65072,869304010010012,套现,套现风险（套现风险极高）,,,,,
65159,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
65160,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
65742,869451704220001,套现,套现风险（套现风险极高）,,,,,
65743,869451704220001,套现,套现风险（套现风险极高）,,,,,
65772,869451704220001,套现,套现风险（套现风险极高）,,,,,
65773,869451704220001,套现,套现风险（套现风险极高）,,,,,
65886,869451704220001,套现,套现风险（套现风险极高）,,,,,
65887,869451704220001,套现,套现风险（套现风险极高）,,,,,
65985,869451704220001,套现,套现风险（套现风险极高）,,,,,
65986,869451704220001,套现,套现风险（套现风险极高）,,,,,
66051,869100002050002,色情,色情风险（关闭支付权限）,,,,,
66052,869100002050002,色情,色情风险（关闭支付权限）,,,,,
66711,869100007010004,,,北京城区麦乐迪KTV,2020/2/24 12:04,交易拦截,拦截,涉嫌实时交易异常
66712,869100007010004,,,北京城区麦乐迪KTV,2020/2/24 12:04,交易拦截,拦截,涉嫌实时交易异常
66741,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
66785,869304008010001,套现,套现风险（套现风险极高）,,,,,
66996,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
67012,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
67035,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
67049,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
67128,869399006010002,赌博,赌博风险（关闭支付权限）,,,,,
67129,869399006010002,赌博,赌博风险（关闭支付权限）,,,,,
67154,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
67155,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
67264,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
67265,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
67303,869534148120001,套现,套现风险（套现风险极高）,,,,,
67308,869534148120001,套现,套现风险（套现风险极高）,,,,,
67309,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
67310,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
67313,869534148120001,套现,套现风险（套现风险极高）,,,,,
67341,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
67354,869534148120001,套现,套现风险（套现风险极高）,,,,,
67355,869534148120001,套现,套现风险（套现风险极高）,,,,,
67367,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
67368,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
67388,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
67403,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
67404,869307005030001,,,连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
67503,869534148120001,套现,套现风险（套现风险极高）,,,,,
67504,869534148120001,套现,套现风险（套现风险极高）,,,,,
67556,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
67658,869671007050001,赌博,赌博风险（关闭支付权限）,宜宾市通达游乐城,2020/3/23 21:10,交易拦截,拦截,涉嫌实时交易异常
67659,869671007050001,赌博,赌博风险（关闭支付权限）,宜宾市通达游乐城,2020/3/23 21:10,交易拦截,拦截,涉嫌实时交易异常
67755,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
67756,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
67932,869534148120001,套现,套现风险（套现风险极高）,,,,,
67933,869534148120001,套现,套现风险（套现风险极高）,,,,,
68373,869534148120001,套现,套现风险（套现风险极高）,,,,,
68374,869534148120001,套现,套现风险（套现风险极高）,,,,,
68437,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
68438,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
68593,869534148120001,套现,套现风险（套现风险极高）,,,,,
68695,869534148120001,套现,套现风险（套现风险极高）,,,,,
68696,869534148120001,套现,套现风险（套现风险极高）,,,,,
68697,869290465130016,套现,套现风险（套现风险极高）,,,,,
68700,869290465130016,套现,套现风险（套现风险极高）,,,,,
68720,869521010040002,套现,套现风险（套现风险极高）,,,,,
68721,869521010040002,套现,套现风险（套现风险极高）,,,,,
68776,869534148120001,套现,套现风险（套现风险极高）,,,,,
68777,869534148120001,套现,套现风险（套现风险极高）,,,,,
68810,869534148120001,套现,套现风险（套现风险极高）,,,,,
68811,869534148120001,套现,套现风险（套现风险极高）,,,,,
68947,869521010040002,套现,套现风险（套现风险极高）,,,,,
68948,869521010040002,套现,套现风险（套现风险极高）,,,,,
68963,869100001030045,套现,套现风险（套现风险极高）,,,,,
68964,869100001030045,套现,套现风险（套现风险极高）,,,,,
69061,869100001030045,套现,套现风险（套现风险极高）,,,,,
69062,869100001030045,套现,套现风险（套现风险极高）,,,,,
69225,869100001030045,套现,套现风险（套现风险极高）,,,,,
69226,869100001030045,套现,套现风险（套现风险极高）,,,,,
69231,869534148120001,套现,套现风险（套现风险极高）,,,,,
69232,869534148120001,套现,套现风险（套现风险极高）,,,,,
69246,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
69272,869100001030045,套现,套现风险（套现风险极高）,,,,,
69273,869100001030045,套现,套现风险（套现风险极高）,,,,,
69278,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
69279,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
69796,869100001030045,套现,套现风险（套现风险极高）,,,,,
69797,869100001030045,套现,套现风险（套现风险极高）,,,,,
69847,869100001030045,套现,套现风险（套现风险极高）,,,,,
69848,869100001030045,套现,套现风险（套现风险极高）,,,,,
69864,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
69865,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
69866,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
69867,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
70096,869452010050010,套现,套现风险（套现风险极高）,,,,,
70102,869452010050010,套现,套现风险（套现风险极高）,,,,,
70116,869452010050010,套现,套现风险（套现风险极高）,,,,,
70117,869452010050010,套现,套现风险（套现风险极高）,,,,,
70159,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
70160,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
70431,869671010010003,,,宜宾市小五金零售,2020/3/25 16:35,交易拦截,拦截,涉嫌实时交易异常
70434,869671010010003,,,宜宾市小五金零售,2020/3/25 16:35,交易拦截,拦截,涉嫌实时交易异常
70504,869521004190006,套现,套现风险（套现风险极高）,,,,,
70505,869521004190006,套现,套现风险（套现风险极高）,,,,,
70540,869521004190006,套现,套现风险（套现风险极高）,,,,,
70541,869521004190006,套现,套现风险（套现风险极高）,,,,,
70581,869521004190006,套现,套现风险（套现风险极高）,,,,,
70582,869521004190006,套现,套现风险（套现风险极高）,,,,,
70702,869533004220011,欺诈,欺诈风险（关闭支付权限）,,,,,
70754,869533004220011,欺诈,欺诈风险（关闭支付权限）,,,,,
70755,869533004220011,欺诈,欺诈风险（关闭支付权限）,,,,,
70773,869497010010003,套现,套现风险（套现风险极高）,,,,,
70774,869497010010003,套现,套现风险（套现风险极高）,,,,,
70785,869332775310001,套现,套现风险（套现风险极高）,,,,,
70786,869332775310001,套现,套现风险（套现风险极高）,,,,,
70811,869497010010003,套现,套现风险（套现风险极高）,,,,,
70812,869497010010003,套现,套现风险（套现风险极高）,,,,,
70846,869497010010003,套现,套现风险（套现风险极高）,,,,,
70847,869497010010003,套现,套现风险（套现风险极高）,,,,,
71054,869290465130010,套现,套现风险（套现风险极高）,,,,,
71136,869671007050001,赌博,赌博风险（关闭支付权限）,宜宾市通达游乐城,2020/3/23 21:10,交易拦截,拦截,涉嫌实时交易异常
71137,869671007050001,赌博,赌博风险（关闭支付权限）,宜宾市通达游乐城,2020/3/23 21:10,交易拦截,拦截,涉嫌实时交易异常
71378,869290465130010,套现,套现风险（套现风险极高）,,,,,
71379,869290465130010,套现,套现风险（套现风险极高）,,,,,
71421,869290465130010,套现,套现风险（套现风险极高）,,,,,
71422,869290465130010,套现,套现风险（套现风险极高）,,,,,
71436,869290465130010,套现,套现风险（套现风险极高）,,,,,
71441,869290465130010,套现,套现风险（套现风险极高）,,,,,
71630,869471009070002,套现,套现风险（套现风险极高）,,,,,
71631,869471009070002,套现,套现风险（套现风险极高）,,,,,
71729,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
71730,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
71754,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
71765,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
71766,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
71866,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
71867,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
71985,869451704220001,套现,套现风险（套现风险极高）,,,,,
72077,869290465130016,套现,套现风险（套现风险极高）,,,,,
72078,869290465130016,套现,套现风险（套现风险极高）,,,,,
72139,869690010010052,,,重庆城区个体户张华零售,2020/3/29 9:08,交易拦截,拦截,涉嫌实时交易异常
72140,869690010010052,,,重庆城区个体户张华零售,2020/3/29 9:08,交易拦截,拦截,涉嫌实时交易异常
72381,869690010010052,,,重庆城区个体户张华零售,2020/3/29 9:08,交易拦截,拦截,涉嫌实时交易异常
72382,869690010010052,,,重庆城区个体户张华零售,2020/3/29 9:08,交易拦截,拦截,涉嫌实时交易异常
72383,869290465130016,套现,套现风险（套现风险极高）,,,,,
72403,869290465130016,套现,套现风险（套现风险极高）,,,,,
72404,869290465130016,套现,套现风险（套现风险极高）,,,,,
72510,869290465130016,套现,套现风险（套现风险极高）,,,,,
72511,869290465130016,套现,套现风险（套现风险极高）,,,,,
72558,869290465130016,套现,套现风险（套现风险极高）,,,,,
72559,869290465130016,套现,套现风险（套现风险极高）,,,,,
72717,869671010010004,,,宜宾市美多科技零售,2020/3/25 17:46,交易拦截,拦截,涉嫌实时交易异常
72738,869671010010004,,,宜宾市美多科技零售,2020/3/25 17:46,交易拦截,拦截,涉嫌实时交易异常
72739,869671010010004,,,宜宾市美多科技零售,2020/3/25 17:46,交易拦截,拦截,涉嫌实时交易异常
72883,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
72884,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
72901,869671010010004,,,宜宾市美多科技零售,2020/3/25 17:46,交易拦截,拦截,涉嫌实时交易异常
72950,869690004110003,色情,色情风险（关闭支付权限）,,,,,
72951,869690004110003,色情,色情风险（关闭支付权限）,,,,,
72952,869690004110003,色情,色情风险（关闭支付权限）,,,,,
72955,869671010010004,,,宜宾市美多科技零售,2020/3/25 17:46,交易拦截,拦截,涉嫌实时交易异常
72986,869690004110003,色情,色情风险（关闭支付权限）,,,,,
72987,869690004110003,色情,色情风险（关闭支付权限）,,,,,
73012,869690004110003,色情,色情风险（关闭支付权限）,,,,,
73013,869690004110003,色情,色情风险（关闭支付权限）,,,,,
73031,869671010010003,,,宜宾市小五金零售,2020/3/25 16:35,交易拦截,拦截,涉嫌实时交易异常
73261,869305010010026,套现,套现风险（套现风险极高）,苏州市个体户赵军零售,2020/3/25 15:03,交易拦截,拦截,涉嫌实时交易异常
73278,869305010010026,套现,套现风险（套现风险极高）,苏州市个体户赵军零售,2020/3/25 15:03,交易拦截,拦截,涉嫌实时交易异常
73358,869305010010026,套现,套现风险（套现风险极高）,苏州市个体户赵军零售,2020/3/25 15:03,交易拦截,拦截,涉嫌实时交易异常
73372,869191853310048,套现,套现风险（套现风险极高）,,,,,
73373,869191853310048,套现,套现风险（套现风险极高）,,,,,
73420,869671010010004,,,宜宾市美多科技零售,2020/3/25 17:46,交易拦截,拦截,涉嫌实时交易异常
73436,869290465130010,套现,套现风险（套现风险极高）,,,,,
73437,869290465130010,套现,套现风险（套现风险极高）,,,,,
73482,869290465130016,套现,套现风险（套现风险极高）,,,,,
73483,869290465130016,套现,套现风险（套现风险极高）,,,,,
73610,869690004110003,色情,色情风险（关闭支付权限）,,,,,
73649,869690004110003,色情,色情风险（关闭支付权限）,,,,,
73650,869690004110003,色情,色情风险（关闭支付权限）,,,,,
73804,869290857120003,套现,套现风险（套现风险极高）,,,,,
73805,869290857120003,套现,套现风险（套现风险极高）,,,,,
74047,869534148120001,套现,套现风险（套现风险极高）,,,,,
74141,869690010010052,,,重庆城区个体户张华零售,2020/3/29 9:08,交易拦截,拦截,涉嫌实时交易异常
74142,869690010010052,,,重庆城区个体户张华零售,2020/3/29 9:08,交易拦截,拦截,涉嫌实时交易异常
74180,869397006050001,套现,套现风险（套现风险极高）,,,,,
74181,869397006050001,套现,套现风险（套现风险极高）,,,,,
74238,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
74239,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
74303,869534148120001,套现,套现风险（套现风险极高）,,,,,
74439,869290465130016,套现,套现风险（套现风险极高）,,,,,
74440,869290465130016,套现,套现风险（套现风险极高）,,,,,
74446,869261010050001,赌博,赌博风险（关闭支付权限）,,,,,
74447,869261010050001,赌博,赌博风险（关闭支付权限）,,,,,
74614,869311002050003,套现,套现风险（套现风险极高）,,,,,
74652,869311002050003,套现,套现风险（套现风险极高）,,,,,
74653,869311002050003,套现,套现风险（套现风险极高）,,,,,
74695,869521004190006,套现,套现风险（套现风险极高）,,,,,
74696,869521004190006,套现,套现风险（套现风险极高）,,,,,
74747,869671007050001,赌博,赌博风险（关闭支付权限）,宜宾市通达游乐城,2020/3/23 21:10,交易拦截,拦截,涉嫌实时交易异常
74748,869671007050001,赌博,赌博风险（关闭支付权限）,宜宾市通达游乐城,2020/3/23 21:10,交易拦截,拦截,涉嫌实时交易异常
74774,869100001030045,套现,套现风险（套现风险极高）,,,,,
